,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
57,1981,Connecticut,Jennifer,Jessica,Sarah,Melissa,Elizabeth
58,1981,Delaware,Jennifer,Jessica,Melissa,Amy,Kimberly
59,1981,Dist. of Columbia,Jennifer,Jessica,Sarah,Tiffany,Kimberly
60,1981,Florida,Jennifer,Jessica,Amanda,Melissa,Tiffany
61,1981,Georgia,Jennifer,Amanda,Jessica,Tiffany,Kimberly
62,1981,Hawaii,Jennifer,Jessica,Nicole,Melissa,Kimberly
63,1981,Idaho,Jennifer,Jessica,Sarah,Amanda,Melissa
64,1981,Illinois,Jennifer,Jessica,Amanda,Sarah,Melissa
65,1981,Indiana,Jennifer,Amanda,Jessica,Sarah,Melissa
66,1981,Iowa,Jennifer,Jessica,Amanda,Sarah,Melissa
67,1981,Kansas,Jennifer,Jessica,Amanda,Sarah,Melissa
68,1981,Kentucky,Amanda,Jessica,Jennifer,Amy,Sarah
69,1981,Louisiana,Jennifer,Jessica,Amanda,Crystal,Ashley
70,1981,Maine,Jessica,Jennifer,Amanda,Sarah,Melissa
71,1981,Maryland,Jennifer,Jessica,Amanda,Sarah,Melissa
72,1981,Massachusetts,Jennifer,Jessica,Melissa,Sarah,Nicole
73,1981,Michigan,Jennifer,Jessica,Sarah,Amanda,Melissa
74,1981,Minnesota,Jennifer,Jessica,Sarah,Amanda,Melissa
75,1981,Mississippi,Jennifer,Amanda,Jessica,Kimberly,Tiffany
76,1981,Missouri,Jennifer,Amanda,Jessica,Sarah,Melissa
77,1981,Montana,Jennifer,Jessica,Sarah,Amanda,Melissa
78,1981,Nebraska,Jennifer,Jessica,Amanda,Sarah,Melissa
79,1981,Nevada,Jennifer,Jessica,Melissa,Amanda,Sarah
80,1981,New Hampshire,Jennifer,Jessica,Sarah,Melissa,Amanda
81,1981,New Jersey,Jennifer,Jessica,Melissa,Nicole,Lauren
82,1981,New Mexico,Jennifer,Jessica,Amanda,Melissa,Crystal
83,1981,New York,Jennifer,Jessica,Melissa,Nicole,Sarah
84,1981,North Carolina,Jennifer,Amanda,Jessica,Crystal,Melissa
85,1981,North Dakota,Jessica,Jennifer,Amanda,Sarah,Melissa
86,1981,Ohio,Jennifer,Jessica,Amanda,Sarah,Melissa
87,1981,Oklahoma,Jennifer,Amanda,Sarah,Amber,Jessica
88,1981,Oregon,Jennifer,Sarah,Jessica,Melissa,Amanda
89,1981,Pennsylvania,Jennifer,Jessica,Amanda,Melissa,Nicole
90,1981,Rhode Island,Jessica,Jennifer,Melissa,Nicole,Sarah
91,1981,South Carolina,Jennifer,Amanda,Jessica,Crystal,Kimberly
92,1981,South Dakota,Jennifer,Jessica,Sarah,Amanda,Melissa
93,1981,Tennessee,Amanda,Jennifer,Jessica,April,Tiffany
94,1981,Texas,Jennifer,Jessica,Amanda,Melissa,Stephanie
95,1981,Utah,Jennifer,Amanda,Jessica,Melissa,Amy
96,1981,Vermont,Jessica,Jennifer,Sarah,Amanda,Heather
97,1981,Virginia,Jennifer,Jessica,Amanda,Sarah,Melissa
98,1981,Washington,Jennifer,Jessica,Sarah,Amanda,Melissa
99,1981,West Virginia,Amanda,Jessica,Jennifer,Melissa,Sarah
100,1981,Wisconsin,Jennifer,Jessica,Sarah,Amanda,Nicole
101,1981,Wyoming,Jennifer,Amanda,Jessica,Sarah,Amber
102,1982,Alabama,Jennifer,Jessica,Amanda,Tiffany,Crystal
103,1982,Alaska,Jennifer,Jessica,Sarah,Amanda,Crystal
104,1982,Arizona,Jennifer,Jessica,Sarah,Stephanie,Amanda
105,1982,Arkansas,Jennifer,Amanda,Jessica,Ashley,Sarah
106,1982,California,Jennifer,Jessica,Sarah,Melissa,Michelle
107,1982,Colorado,Jennifer,Jessica,Sarah,Amanda,Nicole
108,1982,Connecticut,Jennifer,Jessica,Melissa,Sarah,Nicole
109,1982,Delaware,Jennifer,Jessica,Amanda,Lauren,Stephanie
110,1982,Dist. of Columbia,Jennifer,Tiffany,Jessica,Nicole,Elizabeth
111,1982,Florida,Jennifer,Jessica,Amanda,Melissa,Nicole
112,1982,Georgia,Jennifer,Jessica,Amanda,Tiffany,Ashley
113,1982,Hawaii,Jennifer,Jessica,Nicole,Crystal,Melissa
114,1982,Idaho,Jennifer,Jessica,Amanda,Sarah,Melissa
115,1982,Illinois,Jennifer,Jessica,Nicole,Amanda,Sarah
116,1982,Indiana,Jennifer,Amanda,Jessica,Sarah,Melissa
117,1982,Iowa,Jennifer,Jessica,Amanda,Sarah,Melissa
118,1982,Kansas,Jennifer,Jessica,Sarah,Amanda,Melissa
119,1982,Kentucky,Amanda,Jessica,Jennifer,Sarah,Ashley
120,1982,Louisiana,Jennifer,Jessica,Ashley,Amanda,Crystal
121,1982,Maine,Jessica,Jennifer,Amanda,Sarah,Nicole
122,1982,Maryland,Jennifer,Jessica,Amanda,Sarah,Nicole
123,1982,Massachusetts,Jennifer,Jessica,Sarah,Melissa,Nicole
124,1982,Michigan,Jennifer,Jessica,Amanda,Sarah,Nicole
125,1982,Minnesota,Jennifer,Jessica,Sarah,Amanda,Melissa
126,1982,Mississippi,Jennifer,Jessica,Amanda,Ashley,Kimberly
127,1982,Missouri,Jennifer,Jessica,Amanda,Sarah,Melissa
128,1982,Montana,Jessica,Jennifer,Amanda,Sarah,Amber
129,1982,Nebraska,Jennifer,Jessica,Sarah,Amanda,Melissa
130,1982,Nevada,Jennifer,Jessica,Amanda,Melissa,Sarah
131,1982,New Hampshire,Jennifer,Jessica,Amanda,Sarah,Melissa
132,1982,New Jersey,Jennifer,Jessica,Melissa,Nicole,Lauren
133,1982,New Mexico,Jennifer,Jessica,Amanda,Crystal,Melissa
134,1982,New York,Jennifer,Jessica,Nicole,Melissa,Elizabeth
135,1982,North Carolina,Jennifer,Jessica,Amanda,Crystal,Ashley
136,1982,North Dakota,Jessica,Jennifer,Amanda,Sarah,Nicole
137,1982,Ohio,Jennifer,Jessica,Amanda,Sarah,Melissa
138,1982,Oklahoma,Jennifer,Amanda,Jessica,Sarah,Amber
139,1982,Oregon,Jennifer,Sarah,Jessica,Amanda,Melissa
140,1982,Pennsylvania,Jennifer,Jessica,Amanda,Melissa,Nicole
141,1982,Rhode Island,Jessica,Jennifer,Melissa,Sarah,Amanda
142,1982,South Carolina,Jennifer,Jessica,Amanda,Ashley,Crystal
143,1982,South Dakota,Jennifer,Jessica,Sarah,Amanda,Melissa
144,1982,Tennessee,Jennifer,Amanda,Jessica,Ashley,Crystal
145,1982,Texas,Jennifer,Jessica,Amanda,Crystal,Melissa
146,1982,Utah,Jennifer,Jessica,Amanda,Melissa,Sarah
147,1982,Vermont,Jessica,Jennifer,Sarah,Amanda,Melissa
148,1982,Virginia,Jennifer,Jessica,Amanda,Sarah,Crystal
149,1982,Washington,Jennifer,Jessica,Sarah,Amanda,Melissa
150,1982,West Virginia,Jessica,Amanda,Jennifer,Sarah,Amy
151,1982,Wisconsin,Jennifer,Jessica,Amanda,Sarah,Nicole
152,1982,Wyoming,Jennifer,Jessica,Amanda,Sarah,Amber
153,1983,Alabama,Jennifer,Ashley,Jessica,Amanda,Crystal
154,1983,Alaska,Jennifer,Jessica,Sarah,Amanda,Michelle
155,1983,Arizona,Jennifer,Jessica,Sarah,Stephanie,Melissa
156,1983,Arkansas,Jennifer,Amanda,Ashley,Jessica,Amber
157,1983,California,Jennifer,Jessica,Nicole,Melissa,Sarah
158,1983,Colorado,Jennifer,Jessica,Sarah,Amanda,Nicole
159,1983,Connecticut,Jennifer,Jessica,Sarah,Nicole,Melissa
160,1983,Delaware,Jennifer,Jessica,Ashley,Amanda,Heather
161,1983,Dist. of Columbia,Jennifer,Jessica,Tiffany,Elizabeth,Kimberly
162,1983,Florida,Jennifer,Jessica,Ashley,Amanda,Melissa
163,1983,Georgia,Jennifer,Jessica,Ashley,Amanda,Tiffany
164,1983,Hawaii,Jennifer,Jessica,Ashley,Melissa,Nicole
165,1983,Idaho,Jennifer,Jessica,Amanda,Ashley,Sarah
166,1983,Illinois,Jennifer,Jessica,Amanda,Nicole,Sarah
167,1983,Indiana,Ashley,Jennifer,Amanda,Jessica,Sarah
168,1983,Iowa,Jennifer,Jessica,Amanda,Ashley,Sarah
169,1983,Kansas,Jennifer,Ashley,Jessica,Amanda,Sarah
170,1983,Kentucky,Amanda,Ashley,Jessica,Jennifer,Sarah
171,1983,Louisiana,Ashley,Jennifer,Jessica,Amanda,Crystal
172,1983,Maine,Jessica,Amanda,Jennifer,Sarah,Ashley
173,1983,Maryland,Jennifer,Jessica,Ashley,Amanda,Sarah
174,1983,Massachusetts,Jennifer,Jessica,Nicole,Sarah,Elizabeth
175,1983,Michigan,Jennifer,Jessica,Amanda,Sarah,Nicole
176,1983,Minnesota,Jennifer,Jessica,Sarah,Amanda,Nicole
177,1983,Mississippi,Jennifer,Ashley,Jessica,Amanda,Kimberly
178,1983,Missouri,Jennifer,Jessica,Amanda,Ashley,Sarah
179,1983,Montana,Jennifer,Jessica,Amanda,Ashley,Sarah
180,1983,Nebraska,Jennifer,Jessica,Amanda,Sarah,Ashley
181,1983,Nevada,Jennifer,Jessica,Amanda,Ashley,Nicole
182,1983,New Hampshire,Jennifer,Jessica,Sarah,Amanda,Melissa
183,1983,New Jersey,Jennifer,Jessica,Nicole,Melissa,Lauren
184,1983,New Mexico,Jennifer,Jessica,Amanda,Crystal,Sarah
185,1983,New York,Jennifer,Jessica,Nicole,Melissa,Amanda
186,1983,North Carolina,Jennifer,Jessica,Ashley,Amanda,Crystal
187,1983,North Dakota,Jessica,Amanda,Jennifer,Ashley,Nicole
188,1983,Ohio,Jennifer,Jessica,Amanda,Ashley,Sarah
189,1983,Oklahoma,Jennifer,Amanda,Ashley,Jessica,Sarah
190,1983,Oregon,Jennifer,Sarah,Jessica,Amanda,Ashley
191,1983,Pennsylvania,Jennifer,Jessica,Amanda,Ashley,Nicole
192,1983,Rhode Island,Jennifer,Jessica,Nicole,Melissa,Amanda
193,1983,South Carolina,Ashley,Jennifer,Jessica,Amanda,Crystal
194,1983,South Dakota,Jennifer,Jessica,Amanda,Sarah,Ashley
195,1983,Tennessee,Ashley,Jennifer,Jessica,Amanda,Heather
196,1983,Texas,Jennifer,Jessica,Ashley,Amanda,Crystal
197,1983,Utah,Jennifer,Ashley,Jessica,Amanda,Heather
198,1983,Vermont,Jessica,Amanda,Jennifer,Ashley,Sarah
199,1983,Virginia,Jennifer,Jessica,Ashley,Amanda,Sarah
200,1983,Washington,Jennifer,Jessica,Sarah,Amanda,Nicole
201,1983,West Virginia,Jessica,Amanda,Jennifer,Ashley,Sarah
202,1983,Wisconsin,Jennifer,Jessica,Amanda,Sarah,Nicole
203,1983,Wyoming,Jessica,Jennifer,Amanda,Sarah,Ashley
204,1984,Alabama,Ashley,Jessica,Jennifer,Amanda,Crystal
205,1984,Alaska,Jessica,Jennifer,Sarah,Amanda,Nicole
206,1984,Arizona,Jennifer,Jessica,Amanda,Ashley,Sarah
207,1984,Arkansas,Jennifer,Ashley,Jessica,Amanda,Amber
208,1984,California,Jennifer,Jessica,Ashley,Nicole,Melissa
209,1984,Colorado,Jessica,Jennifer,Amanda,Sarah,Ashley
210,1984,Connecticut,Jennifer,Jessica,Sarah,Melissa,Nicole
211,1984,Delaware,Jennifer,Jessica,Ashley,Amanda,Lauren
212,1984,Dist. of Columbia,Jessica,Jennifer,Elizabeth,Ashley,Tiffany
213,1984,Florida,Jennifer,Jessica,Ashley,Amanda,Stephanie
214,1984,Georgia,Jessica,Ashley,Jennifer,Amanda,Tiffany
215,1984,Hawaii,Jennifer,Ashley,Jessica,Nicole,Tiffany
216,1984,Idaho,Jennifer,Jessica,Amanda,Ashley,Sarah
217,1984,Illinois,Jennifer,Jessica,Ashley,Amanda,Nicole
218,1984,Indiana,Ashley,Jennifer,Amanda,Jessica,Sarah
219,1984,Iowa,Ashley,Jennifer,Jessica,Amanda,Megan
220,1984,Kansas,Ashley,Jennifer,Jessica,Amanda,Sarah
221,1984,Kentucky,Ashley,Jessica,Amanda,Jennifer,Sarah
222,1984,Louisiana,Ashley,Jessica,Jennifer,Amanda,Heather
223,1984,Maine,Jessica,Amanda,Jennifer,Ashley,Sarah
224,1984,Maryland,Jennifer,Jessica,Ashley,Amanda,Heather
225,1984,Massachusetts,Jennifer,Jessica,Sarah,Nicole,Elizabeth
226,1984,Michigan,Jennifer,Jessica,Amanda,Sarah,Ashley
227,1984,Minnesota,Jennifer,Amanda,Jessica,Sarah,Ashley
228,1984,Mississippi,Ashley,Jessica,Jennifer,Amanda,Kimberly
229,1984,Missouri,Ashley,Jennifer,Jessica,Amanda,Sarah
230,1984,Montana,Jessica,Jennifer,Amanda,Ashley,Sarah
231,1984,Nebraska,Ashley,Jennifer,Jessica,Amanda,Sarah
232,1984,Nevada,Jennifer,Jessica,Ashley,Amanda,Nicole
233,1984,New Hampshire,Jennifer,Jessica,Sarah,Amanda,Ashley
234,1984,New Jersey,Jennifer,Jessica,Nicole,Lauren,Melissa
235,1984,New Mexico,Jessica,Jennifer,Amanda,Stephanie,Crystal
236,1984,New York,Jennifer,Jessica,Nicole,Melissa,Amanda
237,1984,North Carolina,Ashley,Jennifer,Jessica,Amanda,Heather
238,1984,North Dakota,Ashley,Jessica,Jennifer,Amanda,Nicole
239,1984,Ohio,Ashley,Jennifer,Jessica,Amanda,Sarah
240,1984,Oklahoma,Jennifer,Ashley,Jessica,Amanda,Amber
241,1984,Oregon,Jennifer,Jessica,Sarah,Ashley,Amanda
242,1984,Pennsylvania,Jennifer,Jessica,Ashley,Amanda,Nicole
243,1984,Rhode Island,Jennifer,Jessica,Nicole,Amanda,Stephanie
244,1984,South Carolina,Ashley,Jessica,Jennifer,Amanda,Crystal
245,1984,South Dakota,Jessica,Jennifer,Ashley,Amanda,Heather
246,1984,Tennessee,Ashley,Jessica,Jennifer,Amanda,Heather
247,1984,Texas,Jennifer,Jessica,Ashley,Amanda,Stephanie
248,1984,Utah,Jennifer,Jessica,Ashley,Megan,Amanda
249,1984,Vermont,Jennifer,Ashley,Jessica,Amanda,Sarah
250,1984,Virginia,Jessica,Jennifer,Ashley,Amanda,Sarah
251,1984,Washington,Jennifer,Jessica,Amanda,Sarah,Ashley
252,1984,West Virginia,Jessica,Ashley,Amanda,Jennifer,Sarah
253,1984,Wisconsin,Jennifer,Amanda,Jessica,Ashley,Nicole
254,1984,Wyoming,Jennifer,Jessica,Amanda,Ashley,Sarah
255,1985,Alabama,Ashley,Jessica,Jennifer,Amanda,Kimberly
256,1985,Alaska,Jessica,Jennifer,Amanda,Sarah,Ashley
257,1985,Arizona,Jessica,Ashley,Jennifer,Amanda,Stephanie
258,1985,Arkansas,Ashley,Jessica,Amanda,Jennifer,Sarah
259,1985,California,Jessica,Jennifer,Ashley,Amanda,Nicole
260,1985,Colorado,Jessica,Amanda,Jennifer,Ashley,Sarah
261,1985,Connecticut,Jessica,Jennifer,Ashley,Nicole,Amanda
262,1985,Delaware,Jessica,Jennifer,Ashley,Amanda,Lauren
263,1985,Dist. of Columbia,Ashley,Jessica,Jennifer,Elizabeth,Lauren
264,1985,Florida,Jessica,Ashley,Jennifer,Amanda,Stephanie
265,1985,Georgia,Ashley,Jessica,Amanda,Jennifer,Brittany
266,1985,Hawaii,Ashley,Jennifer,Jessica,Nicole,Tiffany
267,1985,Idaho,Jessica,Amanda,Jennifer,Ashley,Sarah
268,1985,Illinois,Jennifer,Ashley,Jessica,Amanda,Nicole
269,1985,Indiana,Ashley,Amanda,Jessica,Jennifer,Sarah
270,1985,Iowa,Ashley,Amanda,Jessica,Jennifer,Megan
271,1985,Kansas,Ashley,Jessica,Amanda,Jennifer,Megan
272,1985,Kentucky,Ashley,Jessica,Amanda,Jennifer,Brittany
273,1985,Louisiana,Ashley,Jessica,Amanda,Jennifer,Brittany
274,1985,Maine,Jessica,Amanda,Ashley,Jennifer,Nicole
275,1985,Maryland,Ashley,Jennifer,Jessica,Amanda,Sarah
276,1985,Massachusetts,Jennifer,Jessica,Amanda,Ashley,Nicole
277,1985,Michigan,Jessica,Amanda,Ashley,Jennifer,Nicole
278,1985,Minnesota,Amanda,Ashley,Jennifer,Jessica,Nicole
279,1985,Mississippi,Ashley,Jessica,Amanda,Jennifer,Kimberly
280,1985,Missouri,Ashley,Jessica,Amanda,Jennifer,Sarah
281,1985,Montana,Jessica,Amanda,Ashley,Jennifer,Sarah
282,1985,Nebraska,Ashley,Jessica,Jennifer,Amanda,Sarah
283,1985,Nevada,Jessica,Jennifer,Ashley,Amanda,Nicole
284,1985,New Hampshire,Jessica,Amanda,Jennifer,Sarah,Ashley
285,1985,New Jersey,Jessica,Jennifer,Nicole,Lauren,Amanda
286,1985,New Mexico,Jessica,Amanda,Ashley,Jennifer,Stephanie
287,1985,New York,Jessica,Jennifer,Nicole,Amanda,Ashley
288,1985,North Carolina,Ashley,Jessica,Jennifer,Amanda,Heather
289,1985,North Dakota,Ashley,Amanda,Jessica,Jennifer,Sarah
290,1985,Ohio,Ashley,Jessica,Amanda,Jennifer,Sarah
291,1985,Oklahoma,Ashley,Amanda,Jennifer,Jessica,Sarah
292,1985,Oregon,Jessica,Jennifer,Amanda,Ashley,Sarah
293,1985,Pennsylvania,Ashley,Jessica,Amanda,Jennifer,Nicole
294,1985,Rhode Island,Amanda,Jessica,Ashley,Jennifer,Nicole
295,1985,South Carolina,Ashley,Jessica,Jennifer,Amanda,Brittany
296,1985,South Dakota,Ashley,Amanda,Jessica,Jennifer,Megan
297,1985,Tennessee,Ashley,Jessica,Amanda,Jennifer,Heather
298,1985,Texas,Ashley,Jessica,Jennifer,Amanda,Stephanie
299,1985,Utah,Jessica,Ashley,Jennifer,Megan,Amanda
300,1985,Vermont,Ashley,Jessica,Amanda,Sarah,Jennifer
301,1985,Virginia,Ashley,Jessica,Amanda,Jennifer,Sarah
302,1985,Washington,Jessica,Jennifer,Ashley,Amanda,Sarah
303,1985,West Virginia,Ashley,Jessica,Amanda,Jennifer,Brittany
304,1985,Wisconsin,Amanda,Ashley,Jennifer,Jessica,Nicole
305,1985,Wyoming,Jessica,Amanda,Ashley,Jennifer,Heather
306,1986,Alabama,Ashley,Jessica,Amanda,Jennifer,Brittany
307,1986,Alaska,Jessica,Amanda,Sarah,Ashley,Jennifer
308,1986,Arizona,Jessica,Ashley,Amanda,Jennifer,Sarah
309,1986,Arkansas,Ashley,Jessica,Amanda,Jennifer,Sarah
310,1986,California,Jessica,Ashley,Jennifer,Amanda,Sarah
311,1986,Colorado,Jessica,Amanda,Ashley,Jennifer,Sarah
312,1986,Connecticut,Jessica,Jennifer,Ashley,Amanda,Sarah
313,1986,Delaware,Ashley,Jessica,Amanda,Jennifer,Sarah
314,1986,Dist. of Columbia,Ashley,Jessica,Jennifer,Sarah,Lauren
315,1986,Florida,Jessica,Ashley,Amanda,Jennifer,Brittany
316,1986,Georgia,Jessica,Ashley,Amanda,Jennifer,Brittany
317,1986,Hawaii,Ashley,Jessica,Nicole,Jennifer,Amanda
318,1986,Idaho,Jessica,Ashley,Amanda,Jennifer,Sarah
319,1986,Illinois,Jessica,Ashley,Jennifer,Amanda,Sarah
320,1986,Indiana,Ashley,Jessica,Amanda,Jennifer,Sarah
321,1986,Iowa,Ashley,Jessica,Amanda,Sarah,Jennifer
322,1986,Kansas,Jessica,Ashley,Amanda,Sarah,Jennifer
323,1986,Kentucky,Ashley,Jessica,Amanda,Brittany,Sarah
324,1986,Louisiana,Ashley,Jessica,Brittany,Amanda,Jennifer
325,1986,Maine,Ashley,Jessica,Amanda,Sarah,Jennifer
326,1986,Maryland,Ashley,Jessica,Amanda,Jennifer,Sarah
327,1986,Massachusetts,Jessica,Amanda,Ashley,Jennifer,Sarah
328,1986,Michigan,Jessica,Ashley,Amanda,Jennifer,Sarah
329,1986,Minnesota,Ashley,Amanda,Jessica,Sarah,Jennifer
330,1986,Mississippi,Ashley,Jessica,Brittany,Amanda,Jennifer
331,1986,Missouri,Ashley,Jessica,Amanda,Sarah,Jennifer
332,1986,Montana,Amanda,Jessica,Ashley,Sarah,Jennifer
333,1986,Nebraska,Ashley,Jessica,Amanda,Sarah,Jennifer
334,1986,Nevada,Ashley,Jessica,Amanda,Jennifer,Sarah
335,1986,New Hampshire,Amanda,Jessica,Sarah,Jennifer,Ashley
336,1986,New Jersey,Jessica,Jennifer,Ashley,Amanda,Nicole
337,1986,New Mexico,Jessica,Amanda,Ashley,Jennifer,Crystal
338,1986,New York,Jessica,Jennifer,Amanda,Nicole,Ashley
339,1986,North Carolina,Ashley,Jessica,Amanda,Jennifer,Brittany
340,1986,North Dakota,Ashley,Jessica,Amanda,Jennifer,Sarah
341,1986,Ohio,Ashley,Jessica,Amanda,Jennifer,Sarah
342,1986,Oklahoma,Ashley,Jessica,Jennifer,Amanda,Sarah
343,1986,Oregon,Jessica,Ashley,Amanda,Sarah,Jennifer
344,1986,Pennsylvania,Ashley,Jessica,Amanda,Jennifer,Nicole
345,1986,Rhode Island,Ashley,Jessica,Amanda,Nicole,Jennifer
346,1986,South Carolina,Ashley,Jessica,Amanda,Jennifer,Brittany
347,1986,South Dakota,Ashley,Amanda,Jessica,Sarah,Jennifer
348,1986,Tennessee,Ashley,Jessica,Amanda,Jennifer,Brittany
349,1986,Texas,Ashley,Jessica,Amanda,Jennifer,Sarah
350,1986,Utah,Jessica,Amanda,Ashley,Jennifer,Megan
351,1986,Vermont,Ashley,Jessica,Amanda,Sarah,Jennifer
352,1986,Virginia,Ashley,Jessica,Amanda,Jennifer,Sarah
353,1986,Washington,Jessica,Ashley,Amanda,Jennifer,Sarah
354,1986,West Virginia,Ashley,Jessica,Amanda,Jennifer,Brittany
355,1986,Wisconsin,Amanda,Ashley,Jessica,Jennifer,Sarah
356,1986,Wyoming,Jessica,Ashley,Amanda,Jennifer,Sarah
357,1987,Alabama,Ashley,Jessica,Amanda,Brittany,Jennifer
358,1987,Alaska,Jessica,Amanda,Ashley,Sarah,Jennifer
359,1987,Arizona,Jessica,Ashley,Amanda,Jennifer,Sarah
360,1987,Arkansas,Ashley,Jessica,Amanda,Jennifer,Sarah
361,1987,California,Jessica,Ashley,Jennifer,Amanda,Stephanie
362,1987,Colorado,Jessica,Ashley,Amanda,Sarah,Jennifer
363,1987,Connecticut,Jessica,Ashley,Amanda,Jennifer,Sarah
364,1987,Delaware,Jessica,Ashley,Amanda,Jennifer,Sarah
365,1987,Dist. of Columbia,Ashley,Jessica,Jennifer,Sarah,Brittany
366,1987,Florida,Jessica,Ashley,Amanda,Jennifer,Brittany
367,1987,Georgia,Jessica,Ashley,Brittany,Amanda,Jennifer
368,1987,Hawaii,Ashley,Jessica,Nicole,Jennifer,Amanda
369,1987,Idaho,Jessica,Ashley,Amanda,Sarah,Jennifer
370,1987,Illinois,Ashley,Jessica,Amanda,Jennifer,Sarah
371,1987,Indiana,Ashley,Jessica,Amanda,Brittany,Sarah
372,1987,Iowa,Ashley,Jessica,Amanda,Sarah,Jennifer
373,1987,Kansas,Ashley,Jessica,Amanda,Sarah,Jennifer
374,1987,Kentucky,Ashley,Jessica,Amanda,Brittany,Sarah
375,1987,Louisiana,Ashley,Jessica,Brittany,Amanda,Sarah
376,1987,Maine,Ashley,Amanda,Jessica,Sarah,Jennifer
377,1987,Maryland,Ashley,Jessica,Amanda,Jennifer,Brittany
378,1987,Massachusetts,Jessica,Amanda,Ashley,Jennifer,Sarah
379,1987,Michigan,Ashley,Jessica,Amanda,Jennifer,Sarah
380,1987,Minnesota,Ashley,Amanda,Jessica,Sarah,Jennifer
